Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,149.820007,153.169998,149.720001,152.570007,150.825089,100077900
2021-10-29,147.220001,149.940002,146.410004,149.800003,148.086746,124953200
2021-11-01,148.990005,149.699997,147.800003,148.960007,147.256378,74588300
2021-11-02,148.660004,151.570007,148.649994,150.020004,148.304260,69122000
2021-11-03,150.389999,151.970001,149.820007,151.490005,149.757416,54511500
2021-11-04,151.580002,152.429993,150.639999,150.960007,149.233505,60394600
2021-11-05,151.889999,152.199997,150.059998,151.279999,149.768097,65463900
2021-11-08,151.410004,151.570007,150.160004,150.440002,148.936493,55020900
2021-11-09,150.199997,151.429993,150.059998,150.809998,149.302795,56787900
2021-11-10,150.020004,150.130005,147.850006,147.919998,146.441681,65187100
2021-11-11,148.960007,149.429993,147.679993,147.869995,146.392181,41000000
2021-11-12,148.429993,150.399994,147.479996,149.990005,148.490967,63804000
2021-11-15,150.369995,151.880005,149.429993,150.000000,148.500900,59222800
2021-11-16,149.940002,151.490005,149.339996,151.000000,149.490875,59256200
2021-11-17,151.000000,155.000000,150.990005,153.490005,151.956009,88807000
2021-11-18,153.710007,158.669998,153.050003,157.869995,156.292221,137827700
2021-11-19,157.649994,161.020004,156.529999,160.550003,158.945450,117305600
2021-11-22,161.679993,165.699997,161.000000,161.020004,159.410736,117467900
2021-11-23,161.119995,161.800003,159.059998,161.410004,159.796860,96041900
2021-11-24,160.750000,162.139999,159.639999,161.940002,160.321594,69463600
2021-11-26,159.570007,160.449997,156.360001,156.809998,155.242813,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,158.638550,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,163.647964,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,163.123276,152052500
2021-12-02,158.740005,164.199997,157.800003,163.759995,162.123367,136739200
2021-12-03,164.020004,164.960007,159.720001,161.839996,160.222549,118023100
2021-12-06,164.289993,167.880005,164.279999,165.320007,163.667786,107497000
2021-12-07,169.080002,171.580002,168.339996,171.179993,169.469193,120405400
2021-12-08,172.130005,175.960007,170.699997,175.080002,173.330215,116998900
2021-12-09,174.910004,176.750000,173.919998,174.559998,172.815414,108923700
2021-12-10,175.210007,179.630005,174.690002,179.449997,177.656570,115402700
2021-12-13,181.119995,182.130005,175.529999,175.740005,173.983658,153237000
2021-12-14,175.250000,177.740005,172.210007,174.330002,172.587723,139380400
2021-12-15,175.110001,179.500000,172.309998,179.300003,177.508057,131063300
2021-12-16,179.279999,181.139999,170.750000,172.259995,170.538406,150185800
2021-12-17,169.929993,173.470001,169.690002,171.139999,169.429611,195432700
2021-12-20,168.279999,170.580002,167.460007,169.750000,168.053513,107499100
2021-12-21,171.559998,173.199997,169.119995,172.990005,171.261124,91185900
2021-12-22,173.039993,175.860001,172.149994,175.639999,173.884628,92135300
2021-12-23,175.850006,176.850006,175.270004,176.279999,174.518234,68356600
2021-12-27,177.089996,180.419998,177.070007,180.330002,178.527756,74919600
2021-12-28,180.160004,181.330002,178.529999,179.289993,177.498154,79144300
2021-12-29,179.330002,180.630005,178.139999,179.380005,177.587250,62348900
2021-12-30,179.470001,180.570007,178.089996,178.199997,176.419052,59773000
2021-12-31,178.089996,179.229996,177.259995,177.570007,175.795364,64062300
2022-01-03,177.830002,182.880005,177.710007,182.009995,180.190979,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,177.904068,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,173.171829,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,170.281006,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,170.449326,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,170.469116,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,173.330215,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,173.775742,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,170.469116,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,171.340332,80440800
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.102997,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,164.568680,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,162.865875,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,160.786865,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.004715,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.183136,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,158.094040,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,157.628738,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,168.627716,179935700
2022-01-31,170.160004,175.000000,169.509995,174.779999,173.033234,115541600
2022-02-01,174.009995,174.839996,172.309998,174.610001,172.864944,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,174.082642,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.172012,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.884552,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,170.160934,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,173.303238,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,174.740585,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,170.616913,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,167.167313,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,167.405212,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,171.281052,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,171.043182,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,167.405212,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,165.839005,82772700
2022-02-22,164.979996,166.690002,162.149994,164.320007,162.885056,91162800
2022-02-23,165.539993,166.149994,159.750000,160.070007,158.672180,90009200
2022-02-24,152.580002,162.850006,152.000000,162.740005,161.318848,141147500
2022-02-25,163.839996,165.119995,160.869995,164.850006,163.410400,91974200
2022-02-28,163.059998,165.419998,162.429993,165.119995,163.678040,95056600
2022-03-01,164.699997,166.600006,161.970001,163.199997,161.774826,83474400
2022-03-02,164.389999,167.360001,162.949997,166.559998,165.105469,79724800
2022-03-03,168.470001,168.910004,165.550003,166.229996,164.778336,76678400
2022-03-04,164.490005,165.550003,162.100006,163.169998,161.745056,83737200
